iter	Passed	Remaining
0	179	178913
1	181	90485
2	183	60862
3	184	46015
4	186	37097
5	187	31093
6	188	26779
7	189	23524
8	190	20998
9	191	18968
10	192	17292
11	193	15906
12	193	14724
13	194	13704
14	195	12828
15	196	12059
16	196	11383
17	197	10780
18	198	10233
19	198	9744
20	199	9304
21	200	8902
22	201	8538
23	201	8203
24	202	7893
25	203	7609
26	203	7345
27	204	7096
28	205	6869
29	205	6657
30	206	6464
31	207	6277
32	208	6102
33	209	5941
34	209	5789
35	210	5648
36	211	5509
37	212	5377
38	213	5252
39	213	5131
40	214	5017
41	215	4910
42	215	4806
43	216	4709
44	217	4616
45	218	4525
46	218	4440
47	219	4356
48	220	4276
49	221	4200
50	221	4128
51	222	4057
52	223	3988
53	224	3925
54	224	3862
55	225	3807
56	226	3749
57	227	3693
58	228	3638
59	228	3585
60	229	3533
61	230	3483
62	230	3434
63	231	3387
64	232	3341
65	232	3296
66	233	3254
67	234	3212
68	235	3170
69	235	3132
70	236	3093
71	237	3056
72	237	3021
73	238	2986
74	239	2953
75	240	2919
76	240	2887
77	241	2856
78	242	2825
79	243	2795
80	243	2766
81	244	2737
82	244	2704
83	245	2677
84	246	2650
85	246	2624
86	247	2598
87	248	2572
88	248	2548
89	249	2524
90	250	2500
91	250	2477
92	251	2454
93	252	2433
94	253	2411
95	253	2390
96	254	2369
97	255	2349
98	256	2331
99	256	2311
100	257	2292
101	258	2274
102	259	2256
103	259	2238
104	260	2220
105	261	2203
106	261	2186
107	262	2169
108	263	2153
109	264	2137
110	264	2121
111	265	2105
112	266	2090
113	267	2075
114	267	2060
115	268	2045
116	268	2029
117	269	2015
118	270	2002
119	271	1989
120	271	1975
121	272	1961
122	273	1948
123	274	1936
124	274	1923
125	275	1911
126	276	1898
127	276	1885
128	277	1873
129	278	1861
130	278	1849
131	279	1838
132	280	1826
133	280	1815
134	281	1804
135	282	1793
136	283	1782
137	283	1772
138	284	1762
139	285	1751
140	285	1741
141	286	1730
142	287	1720
143	287	1710
144	288	1701
145	289	1691
146	289	1681
147	290	1672
148	291	1663
149	291	1654
150	292	1645
151	293	1636
152	294	1627
153	294	1618
154	295	1610
155	296	1601
156	296	1593
157	297	1584
158	298	1576
159	298	1568
160	299	1559
161	299	1551
162	300	1544
163	301	1536
164	302	1529
165	302	1522
166	303	1514
167	304	1506
168	304	1499
169	305	1492
170	306	1484
171	306	1477
172	307	1470
173	308	1463
174	308	1456
175	309	1449
176	310	1442
177	310	1435
178	311	1429
179	312	1422
180	312	1415
181	313	1409
182	314	1402
183	314	1395
184	315	1391
185	316	1385
186	317	1379
187	318	1373
188	318	1367
189	319	1361
190	320	1356
191	320	1350
192	321	1344
193	322	1338
194	322	1332
195	323	1327
196	324	1324
197	325	1318
198	326	1313
199	326	1307
200	327	1302
201	328	1296
202	328	1291
203	329	1286
204	330	1281
205	331	1276
206	331	1270
207	332	1265
208	333	1260
209	333	1255
210	334	1250
211	335	1245
212	335	1240
213	336	1236
214	337	1231
215	337	1226
216	338	1222
217	339	1217
218	340	1212
219	340	1208
220	341	1203
221	342	1199
222	342	1194
223	343	1189
224	344	1185
225	344	1180
226	345	1176
227	346	1172
228	346	1167
229	347	1163
230	348	1159
231	348	1154
232	349	1150
233	350	1146
234	350	1142
235	351	1138
236	352	1134
237	352	1129
238	353	1125
239	354	1121
240	354	1117
241	355	1113
242	356	1109
243	356	1105
244	357	1101
245	358	1097
246	358	1093
247	359	1089
248	359	1085
249	360	1082
250	361	1078
251	362	1075
252	362	1071
253	363	1067
254	364	1064
255	364	1060
256	365	1056
257	366	1053
258	366	1049
259	367	1046
260	368	1042
261	368	1038
262	369	1035
263	370	1031
264	370	1028
265	371	1024
266	371	1021
267	372	1017
268	373	1014
269	374	1011
270	374	1008
271	375	1004
272	376	1002
273	377	998
274	377	995
275	378	992
276	379	989
277	379	986
278	380	983
279	381	980
280	382	977
281	382	974
282	383	971
283	384	968
284	384	965
285	385	962
286	386	959
287	386	956
288	387	952
289	388	949
290	388	946
291	389	943
292	389	941
293	390	938
294	391	935
295	392	933
296	392	930
297	393	927
298	394	924
299	395	921
300	395	918
301	396	916
302	397	913
303	397	910
304	398	907
305	399	905
306	399	902
307	400	899
308	401	896
309	401	894
310	402	891
311	403	889
312	403	886
313	404	883
314	405	881
315	406	878
316	406	876
317	407	873
318	408	871
319	408	868
320	409	866
321	410	863
322	410	861
323	411	858
324	412	856
325	413	853
326	413	851
327	414	848
328	415	846
329	415	844
330	416	841
331	417	839
332	417	836
333	418	834
334	419	832
335	420	830
336	420	828
337	421	825
338	422	823
339	423	821
340	423	819
341	424	816
342	425	814
343	425	812
344	426	810
345	427	807
346	427	805
347	428	803
348	429	800
349	429	798
350	430	796
351	431	794
352	431	791
353	432	789
354	433	787
355	434	785
356	434	782
357	435	780
358	436	778
359	436	776
360	437	774
361	438	772
362	438	770
363	439	768
364	440	766
365	441	763
366	441	761
367	442	759
368	443	757
369	443	755
370	444	753
371	445	751
372	445	749
373	446	747
374	447	745
375	447	743
376	448	741
377	449	739
378	449	737
379	450	735
380	451	733
381	452	731
382	452	729
383	453	727
384	454	725
385	454	723
386	455	721
387	456	719
388	456	717
389	457	715
390	458	713
391	458	711
392	459	709
393	460	707
394	460	705
395	461	704
396	462	702
397	462	700
398	463	698
399	464	696
400	464	694
401	465	692
402	466	691
403	467	689
404	468	687
405	468	685
406	469	683
407	470	682
408	470	680
409	471	678
410	472	676
411	472	674
412	473	672
413	474	671
414	474	669
415	475	667
416	476	665
417	476	664
418	477	662
419	478	660
420	478	658
421	479	656
422	480	655
423	481	653
424	481	651
425	482	650
426	483	648
427	484	646
428	484	645
429	485	643
430	486	641
431	486	640
432	487	638
433	488	636
434	488	635
435	489	633
436	490	631
437	490	629
438	491	628
439	492	626
440	493	625
441	493	623
442	494	621
443	495	619
444	495	618
445	496	616
446	497	615
447	498	613
448	498	612
449	499	610
450	500	609
451	501	607
452	502	606
453	502	604
454	503	603
455	504	601
456	505	600
457	505	598
458	506	597
459	507	595
460	508	594
461	508	592
462	509	591
463	510	589
464	510	587
465	511	586
466	512	584
467	513	583
468	514	581
469	514	580
470	515	578
471	516	577
472	516	575
473	517	574
474	518	572
475	518	571
476	519	569
477	520	568
478	521	566
479	521	565
480	522	563
481	523	562
482	524	560
483	524	559
484	525	557
485	526	556
486	526	554
487	527	553
488	528	552
489	529	550
490	529	549
491	530	547
